Programa,Nivel,Tipo de Programa,Estado,Oferta Vigente,Etapa,Vigencia Acreditación (Texto),Facultad/Centro,Años Acreditación,Tipo Acreditación,Área del Conocimiento (SIES)
"DOCTORADO EN CIENCIAS APLICADAS, MENCION SISTEMAS MARINOS COSTEROS",Postgrado,Doctorado,No Acreditado,No,Sin Información,Sin Información,FACIMAR,--,Obligatoria,Ciencias Básicas
DOCTORADO EN CIENCIAS BIOLOGICAS CON MENCIONES,Postgrado,Doctorado,No Acreditado,No,Sin Información,Sin Información,FACIMAR,--,Obligatoria,Ciencias Básicas
"MAGISTER EN CIENCIAS BIOMEDICAS MENCION BIOLOGIA DE LA REPRODUCCION, MICROBIOLOGIA APLICADA O FISIOLOGIA APLICADA",Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACSA,--,Voluntaria,Salud
MAGISTER EN DESARROLLO ENERGETICO,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
MAGISTER EN INGENIERIA Y TECNOLOGIA DE LOS MATERIALES,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
"MAGISTER EN ASTRONOMIA CON MENCIONES EN ASTRONOMIA OBSERVACIONAL, ASTROBIOLOGIA Y ASTROINGENIERIA",Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,CITEVA,--,Voluntaria,Ciencias Básicas
MAGISTER EN GESTION DE LA INNOVACION Y TRANSFERENCIA TECNOLOGICA,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
DOCTORADO EN CIENCIAS BIOLOGICAS DE AMBIENTES EXTREMOS,Postgrado,Doctorado,No Acreditado,Sí,Autoevaluación,Sin Información,FACIMAR,--,Obligatoria,Ciencias Básicas
PEDAGOGIA PARA PROFESIONALES,Pregrado,Pregrado Obligatorio (Versión Descontinuada),No Acreditado,Sí,Sin Información,Sin Información,FACEDUC,--,Obligatoria,Educación
BIOTECNOLOGIA,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACIMAR,--,Voluntaria,Tecnología
INGENIERIA CIVIL INDUSTRIAL EN ELECTRICIDAD,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA CIVIL INDUSTRIAL MECANICA,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA CIVIL INDUSTRIAL EN QUIMICA,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA CIVIL INDUSTRIAL EN ELECTRONICA,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
NUTRICION Y DIETETICA,Pregrado,Pregrado No Obligatorio,No Acreditado,Sí,Sin Información,Sin Información,FACSA,--,Voluntaria,Salud
INGENIERIA CIVIL INDUSTRIAL EN MINAS,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA DE EJECUCION EN ELECTRONICA,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA DE EJECUCION EN ELECTRICIDAD,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA CIVIL EN PROCESOS MINERALES,Pregrado,Pregrado No Obligatorio (Descontinuado),No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
INGENIERIA CIVIL EN PROCESOS MINERALES,Pregrado,Pregrado No Obligatorio,No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
BACHILLERATO EN CIENCIAS DE LA SALUD,Pregrado,Pregrado No Obligatorio,No Acreditado,Sí,Sin Información,Sin Información,FACSA,--,Voluntaria,Salud
TRABAJO SOCIAL,Pregrado,Pregrado No Obligatorio,No Acreditado,Sí,Sin Información,Sin Información,FACSAYH,--,Voluntaria,Ciencias Sociales
INGENIERIA COMERCIAL MENCION NEGOCIOS MINEROS,Pregrado,Pregrado No Obligatorio,No Acreditado,Sí,Sin Información,Sin Información,FACING,--,Voluntaria,Administración y Comercio
